game_id,game_date,start_time_et,home_team,away_team,moneyline_home,moneyline_away,total_line,over_odds,under_odds,home_score,away_score,status,winner,total_result,home_1,away_1,home_2,away_2,home_3,away_3,home_4,away_4,home_5,away_5,home_6,away_6,home_7,away_7,home_8,away_8,home_9,away_9
165389,2025-09-05,2025-09-05 14:20:00,Chicago Cubs,Washington Nationals,1.44,2.75,,,,,,,,,,,,,,,,,,,,,,,,,,
165393,2025-09-05,2025-09-05 18:40:00,Cincinnati Reds,New York Mets,2.00,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,
165395,2025-09-05,2025-09-05 18:40:00,Detroit Tigers,Chicago White Sox,1.50,2.60,,,,,,,,,,,,,,,,,,,,,,,,,,
165397,2025-09-05,2025-09-05 18:40:00,Pittsburgh Pirates,Milwaukee Brewers,2.30,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,
165392,2025-09-05,2025-09-05 19:05:00,Baltimore Orioles,Los Angeles Dodgers,2.38,1.57,,,,,,,,,,,,,,,,,,,,,,,,,,
165400,2025-09-05,2025-09-05 19:05:00,New York Yankees,Toronto Blue Jays,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
165401,2025-09-05,2025-09-05 19:10:00,Miami Marlins,Philadelphia Phillies,3.10,1.36,,,,,,,,,,,,,,,,,,,,,,,,,,
165391,2025-09-05,2025-09-05 19:15:00,Atlanta Braves,Seattle Mariners,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165398,2025-09-05,2025-09-05 19:35:00,Tampa Bay Rays,Cleveland Guardians,1.73,2.10,,,,,,,,,,,,,,,,,,,,,,,,,,
165396,2025-09-05,2025-09-05 19:40:00,Kansas City Royals,Minnesota Twins,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165399,2025-09-05,2025-09-05 20:05:00,Texas Rangers,Houston Astros,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165402,2025-09-05,2025-09-05 20:15:00,St. Louis Cardinals,San Francisco Giants,1.91,1.91,,,,,,,,,,,,,,,,,,,,,,,,,,
165394,2025-09-05,2025-09-05 20:40:00,Colorado Rockies,San Diego Padres,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165403,2025-09-05,2025-09-05 21:38:00,Los Angeles Angels,Athletics,1.67,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,
165390,2025-09-05,2025-09-05 21:40:00,Arizona Diamondbacks,Boston Red Sox,2.10,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,
